epoch,G03,G06,G07,G11,G13,G16,G19,G21,G23,G25,G27,G31
08 11 15 0 44 0.0000000,"[0.1095031729588909, 0.26722550429403746]","[-0.07693469670290742, -0.027175519677499926]",,,"[0.06911631437639354, 0.4657075693209958]","[-0.07526891414696957, 0.17081923733154936]","[-0.46999808304632706, -1.0444720083226762]","[0.5489249929785729, 1.8382533879950644]","[0.5089657373105485, 2.9205611001079284]","[-0.10708417420585947, -0.021080339141190008]",,"[-1.7923709511756898, 0.08459207142392794]"
08 11 15 0 44 30.0000000,"[-0.14858554241557886, -0.10952259562909639]","[0.3824623808575174, 0.004566337851186597]",,,"[-0.5670369365562999, 0.101758255561192]","[-0.22069249783332134, 0.23376545260349912]","[-0.14117971711481614, -1.443537607168158]","[0.7433360919356347, 2.161092350073159]","[1.219146332827707, 1.463695714933177]","[0.2612630831698577, -0.21848569232970472]",,"[-1.8552070915699006, 0.11152478779355685]"
08 11 15 0 45 0.0000000,"[-0.745134636138876, -0.7706174995750192]","[0.17026679071908202, -0.2342867293084661]",,,"[-0.09672538427015187, -0.04763428966204408]","[-0.05936465148503567, 0.19964680025974912]","[-1.1538419192346434, -1.4609972232331834]","[0.6721105977892876, 2.0562896372750403]","[1.0762323058520753, 2.9406967263047896]","[0.26755734855930013, -0.3855231942608952]",,"[-1.47331859767437, 0.9905925812820594]"
08 11 15 0 45 30.0000000,"[-0.07642254916330149, 0.08022528924047911]","[0.19290404620890822, -0.2360097952807943]",,,"[-0.8641028204311931, 0.8254148652156186]","[0.03343048210566257, 0.029606535534064005]","[-1.0019448911460738, -2.199256926154097]","[0.5902819588780404, 1.2941993119195105]","[1.2570903069650132, 1.7305544416730605]","[-0.1271450561781724, -1.0787774415686726]",,"[-2.1001050978899003, 0.9155051978925864]"
08 11 15 0 46 0.0000000,"[-0.06793811110158732, -0.28385481201112306]","[-0.09002442803854738, -0.234008986564974]",,,"[-1.1269079097857082, 0.031235231955845322]","[-0.07333864007766033, 0.06721135924259825]","[-1.0637891804488997, -1.1493904733409486]","[0.4394340321421623, 1.5866675617173316]","[1.9344670391951997, 0.6723602961127959]","[0.25185314888755483, -1.2502080442383885]",,"[-2.786503514647484, -0.7000514445205529]"
08 11 15 0 46 30.0000000,"[-0.8952458718170719, -0.764267518743873]","[-0.25253807899231706, -0.11442844948420922]",,,"[-0.4168333807339275, 0.40691937406857726]","[0.07962857450669025, 0.09157665024201078]","[-0.646519056490312, -0.7791578316440185]","[0.14324286133050917, 1.7507774027064444]","[1.7712867922460038, 1.8977972518031798]","[0.31535319561759634, -1.2998202683404088]",,"[-2.420160523056984, 0.8534597131113212]"
08 11 15 0 47 0.0000000,"[-0.9890870147695141, -0.26561643145978486]","[-0.03016813990349565, -0.14283967396865288]",,,"[0.07678975674013255, -0.2816360304752994]","[-0.23833160583550717, 0.0652007008592288]","[-1.2405456667455534, -0.6323366605987152]","[-1.0973759487271308, 1.683721879310906]","[1.2155050701772172, 1.815481136304637]","[0.4991630273560683, -0.9780389906838536]",,"[-2.106039544939995, 1.0983000370363394]"
08 11 15 0 47 30.0000000,"[-0.920519045864542, -0.49892382286489045]","[-0.36662323173756395, -0.301489193054537]",,,"[0.19224253805975078, 0.9697209735711407]","[0.002197424725939978, -0.041023180385430624]","[-1.5830359672817091, -0.03886094627281034]","[0.5870156839489937, 1.0737541558220984]","[1.2807228631650407, 1.2621239821737014]","[0.30226131851474447, -0.5632217021659016]",,"[-1.8788241654634477, 1.2520473572115103]"
08 11 15 0 48 0.0000000,"[-0.7315836766113835, 0.11721232570707762]","[-0.09926305857176576, -0.15434152266631523]",,,"[0.34296285125116466, -0.10090248386065248]","[0.11782704557602619, -0.0997313116987546]","[-0.6204175119909148, -0.8779805147399505]","[-1.1795593693852424, 1.513301560468972]","[0.905430085149904, 2.1131629894798003]","[0.3770559536914031, -0.6011425795033574]",,"[-2.7366961151361466, 0.42194711888829867]"
08 11 15 0 48 30.0000000,"[-0.38611231682201197, 0.3363272104412314]","[0.06295908096556868, -0.057971272679666674]",,,"[-0.04976002362867238, 0.1150089492400479]","[-0.09755776558692242, 0.4194658989707629]","[-1.735311514666925, 0.035389960433045986]","[-0.34950451999902726, 1.39250322598964]","[1.0064221836005647, 2.571630532604953]","[0.26384728724757833, -0.46287427265197034]",,"[-2.247660493850708, 0.2713307263950507]"
