epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 5 32 0.0000000,,,"[-0.04827403319386114, 0.024302533431439954]","[0.3520153389916545, 0.03925547580854105]",,,"[0.6106314240363391, 0.010867494134853217]","[8.129601252923877, 16.259202505847753]"
08 11 15 5 32 30.0000000,,,"[-0.04657043223123303, 0.0034072019252562313]","[0.3864102929401877, 0.0687899078970664]",,"[0.023414396632505996, 0.04682879326501199]","[0.6251645095809533, 0.029066171089228376]","[8.14982643708612, 0.04045036832448545]"
08 11 15 5 33 0.0000000,,,"[-0.043155169267224736, 0.006830525928016584]","[0.40291340151996036, 0.033006217159545326]",,"[0.031060405691366588, 0.015292018117721184]","[0.6319143113185532, 0.013499603475199962]","[8.176252418829101, 0.05285196348596344]"
08 11 15 5 33 30.0000000,,,"[-0.04580341016864864, -0.005296481802847808]","[0.4314870526250363, 0.05714730221015185]",,"[0.04799953111542976, 0.033878250848126346]","[0.6420309528862012, 0.02023328313529582]","[8.1831152742643, 0.013725710870396313]"
08 11 15 5 34 0.0000000,,,"[-0.04383337764991513, 0.003940065037467022]","[0.4575577701648681, 0.05214143507966362]",,"[0.05521763178662664, 0.014436201342393762]","[0.6474162673360935, 0.01077062889978464]","[8.204704964681401, 0.043179380834203585]"
08 11 15 5 34 30.0000000,,,"[-0.0487907742285687, -0.009914793157307145]","[0.480818769971717, 0.04652199961369785]",,"[0.06837813107048096, 0.026320998567708642]","[0.6591153856464445, 0.02339823662070195]","[8.21106721064297, 0.012724491923137293]"
08 11 15 5 35 0.0000000,,,"[-0.054208370767766745, -0.010835193078396088]","[0.5033611803335172, 0.045084820723600316]",,"[0.08753757004115448, 0.03831887794134703]","[0.6626194812574964, 0.007008191222103832]","[8.222984337375468, 0.023834253464997346]"
08 11 15 5 35 30.0000000,,,"[-0.05721187587233967, -0.006007010209145847]","[0.5397180962784573, 0.07271383188988034]",,"[0.10634176377582927, 0.03760838746934958]","[0.6676495315042397, 0.010060100493486601]","[8.248546403370069, 0.051124131989201516]"
08 11 15 5 36 0.0000000,,,"[-0.05974710101046554, -0.005070450276251748]","[0.556487655381485, 0.033539118206055374]",,"[0.1194699620032269, 0.026256396454795272]","[0.6727280428192426, 0.01015702263000584]","[8.250136969602249, 0.0031811324643591377]"
08 11 15 5 36 30.0000000,,,"[-0.056913152743352846, 0.005667896534225392]","[0.5901559493626427, 0.06733658796231534]",,"[0.14489477221682479, 0.05084962042719576]","[0.6716380481263915, -0.0021799893857021857]","[8.274431423027787, 0.04858890685107653]"
08 11 15 5 37 0.0000000,,,"[-0.05105953935986385, 0.011707226766977996]","[0.6186892288889352, 0.05706655905258495]",,"[0.1666298079044075, 0.04347007137516545]","[0.6784847435497863, 0.013693390846789555]","[8.291564307372715, 0.0342657686898562]"
08 11 15 5 37 30.0000000,,,"[-0.05499155284215451, -0.007864026964581328]","[0.6449294937826522, 0.052480529787434005]",,"[0.19245024441636227, 0.05164087302390952]","[0.6724050796725507, -0.01215932775447115]","[8.32594311079302, 0.0687576068406095]"
08 11 15 5 38 0.0000000,,,"[-0.05001800573527326, 0.009947094213762497]","[0.6718560660321113, 0.053853144498918315]",,"[0.222517549100673, 0.06013460936862147]","[0.6781779404148978, 0.011545721484694127]","[8.366990972793358, 0.082095724000677]"
08 11 15 5 38 30.0000000,,,"[-0.046715768018137815, 0.0066044754342708956]","[0.7005185213335057, 0.05732491060278866]",,"[0.2591893481864034, 0.07334359817146074]","[0.6889081977358984, 0.02146051464200127]","[8.394200127127151, 0.05441830866758579]"
