epoch,G04,G08,G11,G17,G19,G20,G28,G32
08 11 15 5 33 30.0000000,,,"[-0.2659228566102687, 0.713366098205249]","[0.5848863620210338, 1.1894791187668168]",,"[0.3171368143795168, 0.3965824817252508]","[-0.016465009407450992, 0.02345749276379827]","[4.839517798225085, 4.753385421699948]"
08 11 15 5 34 0.0000000,,,"[0.4823688742704686, 0.5394317130247757]","[0.1570491392064739, 0.2468828769350373]",,"[-0.013631785726722523, 0.08364924536470086]","[-0.5003765609425805, 1.163661371047299]","[3.583789702455203, 5.729138073391384]"
08 11 15 5 34 30.0000000,,,"[-0.09124697474762833, 0.5488684991995498]","[0.03551449364907033, 0.6754855127954804]",,"[-0.06944773576277141, -0.056997048394645144]","[-0.20449535663550122, 1.09213816660146]","[4.964575659434001, 3.989423227376408]"
08 11 15 5 35 0.0000000,,,"[0.4832962256856259, 0.4812835822502777]","[-0.4644605022024464, 0.5133654834652268]",,"[-0.24772116026895885, 0.22325561688665063]","[0.006742208047459286, 0.484752188498776]","[3.146341752211253, 4.577870544857449]"
08 11 15 5 35 30.0000000,,,"[0.6654986691661176, 0.12330620686213223]","[0.323011194531982, -0.007881277618376092]",,"[0.024278347873512462, 0.4596417074036947]","[-0.21298819895212873, 0.8589976682017255]","[3.4223232380549113, 3.341893208093113]"
08 11 15 5 36 0.0000000,,,"[0.4631001901812848, -0.288088135917981]","[-0.6487111102890324, -0.22201622408386834]",,"[0.2381287268636858, 0.4176490579676977]","[0.16040897254521624, -0.26861025852461573]","[4.333824109236399, 3.4580188513464396]"
08 11 15 5 36 30.0000000,,,"[0.6821848553605374, -0.11989026566346439]","[-1.2911078434538197, 0.013812443795236273]",,"[0.30809860446435566, 0.1326061611008993]","[-0.08926860357945188, -0.15171598357458826]","[3.8183697126309077, 3.7811076760954325]"
08 11 15 5 37 0.0000000,,,"[0.11996034802868927, 0.14118462006251065]","[-1.8743144970487904, -0.5331859080171264]",,"[-0.006800273871597096, 0.022245121462380002]","[0.12223558013016955, -0.25252230924864527]","[4.966006275216738, 3.465474304623074]"
08 11 15 5 37 30.0000000,,,"[0.1981066119857129, -0.0222136457761124]","[-1.7360057037424397, 0.8224304379844987]",,"[-0.01530912003534679, 0.5888789419961324]","[0.40901841853434817, -1.1461276457955432]","[3.913049798409144, 5.081022319263882]"
08 11 15 5 38 0.0000000,,,"[0.3661111396737393, 0.35674454967180935]","[-1.0550126832079243, 0.29300061482432715]",,"[0.490395729923073, 0.49539465950254113]","[0.23301150534922854, 0.11113309400777105]","[3.97075992445151, 4.751856666869587]"
08 11 15 5 38 30.0000000,,,"[0.09365636380389297, 0.010586939255396999]","[-1.1448507409643482, 0.4164216281795823]",,"[0.16255230226499195, 0.8129564796519628]","[0.47915654514605777, 0.3524931176255155]","[3.6801644078890483, 5.3779493243164485]"
08 11 15 5 39 0.0000000,,,"[-0.11805749414488709, 0.25752007166544644]","[-0.11354194098227732, 0.9895267846012437]",,"[0.1940715513466036, 0.41089236484292657]","[0.37633272145564334, -0.1557410852362704]","[3.4709157756964366, 4.5471138776010935]"
08 11 15 5 39 30.0000000,,,"[-0.21289629964157974, 0.010978437463442958]","[0.2327552784133602, -0.3574186502074874]",,"[0.20394988872987385, 0.22086676703218133]","[0.5487613368468978, 0.46988003986577276]","[2.9781926236550014, 4.290935200519032]"
08 11 15 5 40 0.0000000,,,"[0.09400587053969467, 0.4282097886006042]","[0.5820548582721401, 0.5364625813389146]",,"[0.16213258125764485, 0.02108877645257623]","[-0.037329168276240665, -0.1565200136353564]","[3.5377953163782756, 3.5187947273916667]"
08 11 15 5 40 30.0000000,,,"[0.1237313774414357, 0.03637643853823391]","[0.2750394988704372, 0.913436344447168]",,"[-0.09913955113905315, 0.45673322425607354]","[0.0364849406915404, 0.10133340495328191]","[3.6321117691198985, 4.392879304356045]"
08 11 15 5 41 0.0000000,,,"[0.6528812375850972, 0.18119455079237667]","[0.792839144532745, -0.8708397982692397]",,"[-0.32265392920988445, 0.5715410237145773]","[0.2520737785535552, -0.10971492988367793]","[4.348853435317675, 3.856155347890324]"
08 11 15 5 41 30.0000000,,,"[0.45029843868687713, 0.4701807121435806]","[0.4772226411748577, 1.0133590759659135]",,"[0.021839713239494518, 0.652717453701531]","[-0.17978626604502423, -0.37535489064951655]","[3.159904401699702, 5.2432721824116175]"
08 11 15 5 42 0.0000000,,,"[0.25332531603053177, 0.26912224988142697]","[0.3673564392972637, -1.3184298215484298]",,"[0.07552899935227986, 0.7634272401166311]","[-0.0872902434629701, 0.3042416824648786]","[3.2582984379927318, 3.42009305662579]"
