epoch,G02,G03,G04,G06,G07,G08,G11,G13,G16,G17,G19,G20,G21,G23,G25,G27,G28,G31,G32
08 11 15 0 25 0.0010000,,"[0.15253271401888924, -0.007363424592767841]",,"[0.02888045275813056, -0.013854866789188236]",,,,"[-0.042170143968633056, 0.013984049973259971]","[-0.29551396633542026, 0.004101557278772816]",,"[0.6784040195075249, 0.025158371545330738]",,"[0.37532477912145623, -0.0047959153016563505]","[-0.3277208790856321, 0.0035848255802193307]","[0.38419802961516325, 0.006798249765779474]",,,"[-0.8347476291564817, -0.039885221936856396]",
08 11 15 0 25 30.0010000,,"[0.15836209212284302, 0.011658756207907572]",,"[0.031447963097434695, 0.005135020678608271]",,,,"[-0.05136635212647889, -0.018392416315691662]","[-0.3025140648078377, -0.014000196944834897]",,"[0.7032959500124889, 0.04978386100992793]",,"[0.3824379127690918, 0.0142262672952711]","[-0.34199558995680945, -0.028549421742354752]","[0.3907702099202197, 0.013144360610112926]",,,"[-0.8340855665592244, 0.001324125194514636]",
08 11 15 0 26 0.0010000,,"[0.1524358262613532, -0.01185253172297962]",,"[0.029720141528741806, -0.0034556431373857777]",,,,"[-0.06883833977371978, -0.03494397529448179]","[-0.2971852700939053, 0.010657589427864878]",,"[0.7077043163544658, 0.008816732683953887]",,"[0.37136855259029744, -0.02213872035758868]","[-0.34704987106636054, -0.010108562219102168]","[0.3887032837158131, -0.0041338524088132544]",,,"[-0.8557640724357043, -0.043357011752959806]",
08 11 15 0 26 30.0010000,,"[0.15670693622814724, 0.008542219933588058]",,"[0.04093483245605967, 0.02242938185463572]",,,,"[-0.05491080775800583, 0.0278550640314279]","[-0.2974678578084422, -0.0005651754290738609]",,"[0.7068161837046318, -0.0017762652996680117]",,"[0.37929715343943826, 0.015857201698281642]","[-0.34887457958325285, -0.00364941703378463]","[0.4110196302474378, 0.04463269306324946]",,,"[-0.8912812966445927, -0.07103444841777673]",
08 11 15 0 27 0.0010000,,"[0.15165265485120472, -0.010108562753885053]",,"[0.0352750065926557, -0.011319651726807933]",,,,"[-0.04922676010301075, 0.011368095309990167]","[-0.3136157211520185, -0.03229572668715264]",,"[0.708277565863682, 0.002922764318100235]",,"[0.36144569083705846, -0.035702925204759595]","[-0.3618493874818114, -0.025949615797117076]","[0.41310270460940046, 0.004166148723925289]",,,"[-0.9157130135572515, -0.04886343382531777]",
08 11 15 0 27 30.0010000,,"[0.16111530256603146, 0.018925295429653488]",,"[0.04915409487693978, 0.02775817656856816]",,,,"[-0.03300623182940399, 0.03244105654721352]","[-0.29623254599937354, 0.03476635030528996]",,"[0.7413322411280205, 0.06610935052867717]",,"[0.35628644866346804, -0.010318484347180856]","[-0.35716650721622045, 0.009365760531181877]","[0.42732897160840366, 0.028452533998006402]",,,"[-0.9404111703224771, -0.04939631353045115]",
08 11 15 0 28 0.0010000,,"[0.1635213347399258, 0.0048120643477886915]",,"[0.040926758525529294, -0.01645467270282097]",,,,"[-0.040006330301821436, -0.014000196944834897]","[-0.2994621187863231, -0.00645914557389915]",,"[0.7350103531125569, -0.012643776030927256]",,"[0.32794694917379275, -0.05667899897935058]","[-0.36327847336315244, -0.012223932293863982]","[0.42313860153763017, -0.008380740141546994]",,,"[-0.9727472656268219, -0.06467219060868956]",
08 11 15 0 28 30.0010000,,"[0.17911209614248946, 0.031181522805127315]",,"[0.04135467713786056, 0.0008558372246625368]",,,,"[-0.047046798871633655, -0.014080937139624439]","[-0.3086744748052297, -0.01842471203781315]",,"[0.7474684288904427, 0.02491615155577165]",,"[0.32689733806239474, -0.0020992222227960156]","[-0.36047681914169516, 0.005603308442914567]","[0.4471989173507609, 0.048120631626261456]",,,"[-0.9730702222514083, -0.000645913249172736]",
08 11 15 0 29 0.0010000,,"[0.1818491590238409, 0.005474125762702897]",,"[0.042743393033561006, 0.002777431791400886]",,,,"[-0.04966275264541764, -0.005231907547567971]","[-0.322020683233859, -0.02669241685725865]",,"[0.743173097278941, -0.008590663223003503]",,"[0.30857758749186814, -0.03663950114105319]","[-0.37410561548836085, -0.02725759269333139]","[0.4496130224181343, 0.004828210134746769]",,,"[-1.0105413397141092, -0.07494223492540186]",
08 11 15 0 29 30.0010000,,"[0.18536131863220362, 0.0070243192167254165]",,"[0.0482498146625403, 0.011012843257958593]",,,,"[-0.05456362889526645, -0.009801752499697614]","[-0.3355445187244186, -0.027047670981119154]",,"[0.7755980062611343, 0.0648498179643866]",,"[0.31632856172200263, 0.015501948460268977]","[-0.39097205834900706, -0.033732885721292405]","[0.45352887944500253, 0.007831714053736505]",,,"[-1.0257849216613977, -0.03048716389457695]",
08 11 15 0 30 0.0010000,,"[0.19136832469666842, 0.012014012128929608]",,"[0.04628784910983086, -0.0039239311054188875]",,,,"[-0.04933979542602174, 0.01044766693848942]","[-0.3473405324984924, -0.0235920275481476]",,"[0.791883125978984, 0.03257023943569948]",,"[0.3110966541740936, -0.010463815095818063]","[-0.4024531889269838, -0.022962261155953456]","[0.4628381226293641, 0.018618486368723097]",,,"[-1.048472669586772, -0.04537549585074885]",
