epoch,G03,G06,G07,G08,G11,G13,G16,G19,G21,G23,G25,G27
08 11 15 1 23 0.0000000,"[-0.377713909248511, -0.2886673396453263]","[0.0695348698024949, -0.40873463290433065]","[-0.07119226257006328, -0.590167496042947]",,,"[-1.304559686593711, -3.352637352173527]","[-0.8997559937648475, -1.1491814468055963]","[-0.1498177827025453, 0.28449907222141824]",,"[1.9213676909605661, 2.158370106543104]","[0.34064111967260624, -0.45806089304387587]","[-0.5980037339599003, 1.4914776573931503]"
08 11 15 1 23 30.0000000,"[-0.06851655791203182, -0.2662299161776902]","[-0.2541700956101218, -0.08646814363698141]","[-1.0981807241837185, -0.7058194760854046]",,,"[-2.2191965220496055, -3.5341567860295373]","[-0.7628920021466911, -0.9272460553795099]","[-0.13387944853554168, 0.43074820258965096]",,"[1.816407964626948, 0.9892340293775003]","[0.39720660556728626, -0.42033683024346846]","[-1.1891968735129703, 2.3104487846648025]"
08 11 15 1 24 0.0000000,"[0.48647060443957646, -0.26833694037050027]","[-0.1312097516531745, 0.25581664008398874]","[-0.31564177374045055, -0.6245510761315625]",,,"[-2.9060445217415687, -3.2137040810038644]","[-0.6660484465770423, -0.8521598193794488]","[-0.40088264203319945, 0.03643516519417367]",,"[1.543427915374438, 0.97836851986746]","[0.2853806700247028, -0.357085692510009]","[0.8559981248705517, 1.4674198816572952]"
08 11 15 1 24 30.0000000,"[0.3521757592757543, 0.04909960571676475]","[0.046111123574276824, -0.019326476628581446]","[-0.3322653154532115, -0.5490617041165631]",,,"[-3.0578661648556587, -2.3418996052195626]","[-1.2459937426261605, -0.7584796909242868]","[-0.9116056964422266, 0.16407588937630257]",,"[1.0198596129814783, 1.6008535465846458]","[0.16443195302660252, -0.6227223303169014]","[0.3610863647787701, 1.3789064030205536]"
08 11 15 1 25 0.0000000,"[0.3079080452521642, 0.34557881597429496]","[0.10094564588119592, -0.14529023903111593]","[-0.10493185917536418, -1.1107142899806302]",,,"[-3.7575439153239127, -2.991055877630909]","[-1.697476366441697, -1.1883780870586633]","[-0.2251918495322267, -0.6164433874810735]",,"[1.9870173345009485, 1.0895219436536232]","[-0.15468480329339718, -0.2609576907008888]","[0.9387972913115155, 0.5748976658140945]"
08 11 15 1 25 30.0000000,"[0.009981723626454664, 0.33121040109544975]","[-0.29891684471319113, -0.14815080004433767]","[0.2747714539368947, -1.105905729966859]",,,"[-3.056711220555007, -3.109376983468731]","[-1.4850059839896859, -1.4308638785034418]","[-0.6432902470851938, -0.5094050832713644]",,"[1.7496439228455225, 1.0255425414691368]","[-0.03543929647033428, -0.1450052287429573]","[1.0222074202625882, -0.14214127854949954]"
08 11 15 1 26 0.0000000,"[-0.18235112528006236, 0.13831491414457542]","[-0.3857588302964965, -0.21602576809624807]","[-0.023599950472513842, -0.5573916767413418]",,,"[-2.924886354617774, -2.199734451000889]","[-1.0582355353049935, -1.1451983962208032]","[-0.6523738459373514, -0.24369963190207877]",,"[1.12244400481383, 0.4812272629390161]","[-0.2088602323395512, 0.6760207239538429]","[0.07632197061468471, -0.9511197467292023]"
08 11 15 1 26 30.0000000,"[0.1260617991288503, -0.15613480266183632]","[-0.3767588418597976, -0.1393229349205889]","[-0.23346452216307323, -0.3110545162732403]",,,"[-3.207362660579383, -2.3367882536103326]","[-0.8691131713800132, -0.8408153120428323]","[-0.42069877243290343, -0.2673480578387777]",,"[1.565505580107371, 0.8296822002778451]","[-0.3487823967201016, 1.2835850838571785]","[-0.2902708538443912, -1.0437344719613266]"
08 11 15 1 27 0.0000000,"[0.08333853085835774, -0.8188073372468354]","[-0.27393983124444876, 0.43658486170073374]","[-0.3787078539530436, 0.5048245902483661]",,,"[-1.8504344014450904, -2.2834521399190026]","[-0.8032334986142814, -0.8167561206966638]","[0.09244038605441651, 0.1429404548679789]",,"[1.6598179052273432, 1.4413548848281303]","[-0.0454654906255505, 0.9506444308906792]","[-0.7406433411509861, -0.35811876849777224]"
08 11 15 1 27 30.0000000,"[-0.08098320464293163, -0.8514855390414597]","[-0.06715327321241293, 0.4318966434647642]","[-0.27841925422350566, 0.6569501574461658]",,,"[-2.8007812289521095, -1.1516917364050943]","[-1.0572419258765877, -0.9455653045326471]","[-0.004292506041626121, -0.4622278877223531]",,"[1.9618025730053583, 1.7263709596047798]","[-0.0925620857936642, 0.2393651131540535]","[-0.3264639564425815, 0.5993793497835922]"
